[2025-10-22 22:09:37] ✓ Loaded normalization parameters from metadata
[2025-10-22 22:09:37]   Type: minmax
[2025-10-22 22:09:37]   Feature range: [0.0000, 5.9859] (min)
[2025-10-22 22:09:37]   Feature range: [9.3461, 100.0000] (range)
[2025-10-22 22:09:41] Train batches: 18368
[2025-10-22 22:09:41] Val batches: 2296
[2025-10-22 22:09:41] Test batches: 2296
[2025-10-22 22:09:41] Model created: 134,497 parameters
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:09:41] Starting training
[2025-10-22 22:09:41] ======================================================================
[2025-10-22 22:10:56] Epoch 1 [1400/18368] Power Loss: 6.1868
[2025-10-22 22:10:56] Epoch 1 [1500/18368] Power Loss: 6.1854
[2025-10-22 22:10:57] Epoch 1 [1600/18368] Power Loss: 6.1810
[2025-10-22 22:10:57] Epoch 1 [1700/18368] Power Loss: 6.1808
[2025-10-22 22:10:58] Epoch 1 [1800/18368] Power Loss: 6.1759
[2025-10-22 22:10:58] Epoch 1 [1900/18368] Power Loss: 6.1701
[2025-10-22 22:10:58] Epoch 1 [2000/18368] Power Loss: 6.1635
[2025-10-22 22:10:59] Epoch 1 [2100/18368] Power Loss: 6.1582
[2025-10-22 22:10:59] Epoch 1 [2200/18368] Power Loss: 6.1518
[2025-10-22 22:10:59] Epoch 1 [2300/18368] Power Loss: 6.1461
[2025-10-22 22:11:00] Epoch 1 [2400/18368] Power Loss: 6.1392
[2025-10-22 22:11:00] Epoch 1 [2500/18368] Power Loss: 6.1368
[2025-10-22 22:11:00] Epoch 1 [2600/18368] Power Loss: 6.1335
[2025-10-22 22:11:01] Epoch 1 [2700/18368] Power Loss: 6.1277
[2025-10-22 22:11:01] Epoch 1 [2800/18368] Power Loss: 6.1256
[2025-10-22 22:11:02] Epoch 1 [2900/18368] Power Loss: 6.1197
[2025-10-22 22:11:02] Epoch 1 [3000/18368] Power Loss: 6.1142
[2025-10-22 22:11:02] Epoch 1 [3100/18368] Power Loss: 6.1112
[2025-10-22 22:11:03] Epoch 1 [3200/18368] Power Loss: 6.1072
[2025-10-22 22:11:03] Epoch 1 [3300/18368] Power Loss: 6.1041
[2025-10-22 22:11:03] Epoch 1 [3400/18368] Power Loss: 6.1006
[2025-10-22 22:11:04] Epoch 1 [3500/18368] Power Loss: 6.0966
[2025-10-22 22:11:04] Epoch 1 [3600/18368] Power Loss: 6.0924
[2025-10-22 22:11:05] Epoch 1 [3700/18368] Power Loss: 6.0888
[2025-10-22 22:11:05] Epoch 1 [3800/18368] Power Loss: 6.0836
[2025-10-22 22:11:05] Epoch 1 [3900/18368] Power Loss: 6.0795
[2025-10-22 22:11:06] Epoch 1 [4000/18368] Power Loss: 6.0753
[2025-10-22 22:11:06] Epoch 1 [4100/18368] Power Loss: 6.0707
[2025-10-22 22:11:06] Epoch 1 [4200/18368] Power Loss: 6.0663
[2025-10-22 22:11:07] Epoch 1 [4300/18368] Power Loss: 6.0621
[2025-10-22 22:11:07] Epoch 1 [4400/18368] Power Loss: 6.0589
[2025-10-22 22:11:07] Epoch 1 [4500/18368] Power Loss: 6.0538
